order,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
87,6.52E-126,-1.557921817,0.701,0.842,9.12E-122,1,Gpx1
88,3.68E-124,1.231745757,0.94,0.576,5.14E-120,1,Ccl5
89,1.26E-123,0.657357296,0.628,0.202,1.76E-119,1,Dut
90,2.81E-121,0.521657175,0.817,0.282,3.93E-117,1,Skap1
91,2.38E-120,0.408805672,0.559,0.154,3.33E-116,1,Rhof
92,1.14E-118,0.463364792,1,0.992,1.60E-114,1,Rpl27
93,4.68E-118,-1.953540141,0.85,0.894,6.55E-114,1,Cst3
94,6.56E-118,0.638145669,0.788,0.286,9.18E-114,1,Ctla2a
95,6.76E-118,-1.558424764,0.318,0.733,9.46E-114,1,H2-DMa
96,7.27E-118,0.451754759,0.395,0.083,1.02E-113,1,Icos
97,2.05E-117,1.716393721,0.69,0.276,2.86E-113,1,Ccl4
98,1.43E-116,0.357175948,1,1,2.01E-112,1,Rps13
99,3.96E-115,-1.924898026,0.245,0.697,5.54E-111,1,Ifitm2
100,2.65E-114,0.343049922,0.47,0.115,3.70E-110,1,Itk
101,3.72E-114,0.291764661,0.322,0.06,5.21E-110,1,Gpr68
102,4.79E-114,0.467786748,1,1,6.69E-110,1,Rpl13a
103,5.01E-113,0.392584629,0.435,0.107,7.01E-109,1,Cd226
104,1.71E-112,-1.846954113,0.116,0.632,2.39E-108,1,Ms4a6c
105,1.50E-111,-1.243448411,0.079,0.617,2.10E-107,1,Pld4
106,7.99E-111,-1.468203022,0.314,0.717,1.12E-106,1,Ifi30
107,1.90E-109,-1.123723872,0.191,0.662,2.65E-105,1,Unc93b1
108,7.14E-109,0.496269059,0.563,0.177,9.99E-105,1,Rpa2
109,1.80E-108,0.49932019,0.89,0.354,2.52E-104,1,Gimap6
110,4.91E-108,0.647211912,0.786,0.317,6.87E-104,1,Tnfrsf18
111,2.16E-107,-1.674739021,0.096,0.616,3.02E-103,1,H2-DMb1
112,4.04E-107,0.439435101,0.778,0.28,5.65E-103,1,Gimap5
113,4.17E-107,-1.143092772,0.996,0.998,5.83E-103,1,Fth1
114,1.75E-106,-1.512417842,0.087,0.596,2.45E-102,1,Fcgr3
115,3.08E-106,0.369497425,1,1,4.31E-102,1,Rpl32
